method,threshold_val,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,roc_auc_filtered_mean,roc_auc_filtered_std,typeA_tpr_mean,typeA_tpr_std,typeB_tnr_mean,typeB_tnr_std,typeC_tnr_mean,typeC_tnr_std
SW-BTED,0.22600000000000003,0.9083333333333332,0.14553540997144152,1.0,0.0,0.9466666666666667,0.0869226987360353,0.9860714285714286,0.027327847051858947,0.5,0.0,1.0,0.0,0.96,0.0547722557505166,0.9400000000000001,0.1341640786499874
B1: Cosine TF-IDF,0.22000000000000003,0.8694444444444445,0.1705564603667639,1.0,0.0,0.9222703818369453,0.10833658421830165,1.0,0.0,0.5,0.0,1.0,0.0,0.9,0.12247448713915893,0.96,0.08944271909999157
B2: Cosine SBERT,0.554,0.9177777777777777,0.1309037908890946,1.0,0.0,0.9529411764705882,0.07669649888473705,1.0,0.0,0.5,0.0,1.0,0.0,0.96,0.0547722557505166,0.96,0.08944271909999157
B3: Standard TED,0.16999999999999998,0.217989417989418,0.1225755903197519,0.8,0.44721359549995804,0.3424836601307189,0.19215019329495472,0.10464285714285712,0.10064840803915541,0.5,0.0,0.8,0.44721359549995804,0.2,0.44721359549995804,0.2,0.44721359549995804
B4: pq-Gram,0.01,1.0,0.0,0.9214285714285714,0.07209510442209412,0.9579487179487179,0.03861507814772655,0.9971428571428571,0.006388765649999377,0.5,0.0,0.9214285714285714,0.07209510442209412,1.0,0.0,1.0,0.0
B5: Section Cosine,0.564,0.5469654528478058,0.284149551136245,0.6857142857142857,0.4333071682315172,0.5014545454545455,0.2322941637501827,0.8125,0.10452341122876714,0.5,0.0,0.6857142857142857,0.4333071682315172,0.64,0.23021728866442676,0.74,0.15165750888103102
