index,doc_a,doc_b,label,type,TF-IDF,Section Cosine
0,SU26SE102,SU26SE102_plag,1,Type_A,0.599471052200561,0.4864299168005874
1,SU26SE045,SU26SE045_plag,1,Type_A,0.7287192615578884,0.5445527656165479
2,SU26SE043,SU26SE043_plag,1,Type_A,0.5533070656465092,0.4569286551929186
3,SU26SE047,SU26SE047_plag,1,Type_A,0.5079467775878662,0.4310946514512496
4,SU26SE063,SU26SE063_plag,1,Type_A,0.6038208813262272,0.4365780412814937
5,SU26SE048,SU26SE048_plag,1,Type_A,0.5880608572384151,0.5141608921438696
6,SU26SE002,SU26SE002_plag,1,Type_A,0.6435197194361079,0.468478264921983
7,SU26SE093,SU26SE093_plag,1,Type_A,0.6984468593754579,0.5491297390607419
8,SU26SE057,SU26SE057_plag,1,Type_A,0.4022459155388515,0.3579313880429177
9,SU26SE096,SU26SE096_plag,1,Type_A,0.6124152504530492,0.5423033337046957
10,SU26SE013,SU26SE013_plag,1,Type_A,0.5791867729164583,0.4977264456730725
11,SU26SE021,SU26SE021_plag,1,Type_A,0.6085777014621391,0.4296685681829265
12,SU26SE088,SU26SE088_plag,1,Type_A,0.7299431898174331,0.4872858172075264
13,SU26SE106,SU26SE106_plag,1,Type_A,0.8243554315651822,0.6682904467579085
14,SU26SE097,SU26SE097_plag,1,Type_A,0.8256649217386648,0.6995005986197823
15,SU26SE066,SU26SE066_plag,1,Type_A,0.6357291658558857,0.45127982190749283
16,SU26SE031,SU26SE031_plag,1,Type_A,0.6220424117234579,0.45617279699007474
17,SU27SE153,SU27SE153_plag,1,Type_A,0.8183081823934927,0.8657114671135191
18,SU26SE023,SU26SE023_plag,1,Type_A,0.6187277638417693,0.5243967673588916
19,SU26SE101,SU26SE101_plag,1,Type_A,0.6410333457474994,0.5548933205661237
20,SU26SE086,SU26SE086_plag,1,Type_A,0.6209604349688268,0.49595271591960455
21,SU26SE034,SU26SE034_plag,1,Type_A,0.628802445698163,0.5443990619407131
22,SU26SE003,SU26SE003_plag,1,Type_A,0.5968897252069234,0.35015145468331826
23,SU26SE008,SU26SE008_plag,1,Type_A,0.6530853989917096,0.5109443383299742
24,SU26SE041,SU26SE041_plag,1,Type_A,0.6366231864481835,0.45826417949691545
25,SU26SE037,SU26SE037_plag,1,Type_A,0.5173615599938658,0.36516159962115247
26,SU26SE010,SU26SE010_plag,1,Type_A,0.5495853539039598,0.3334885176425166
27,SU26SE022,SU26SE022_plag,1,Type_A,0.6430204451567979,0.5061445822713672
28,SU26SE017,SU26SE017_plag,1,Type_A,0.5901043190704844,0.4377718014085275
29,SU26SE170,SU26SE170_plag,1,Type_A,0.7384495809235855,0.5414808482555277
30,SU26SE107,SU26SE107_plag,1,Type_A,0.7203961060937263,0.5453964649878881
