index,doc_a,doc_b,label,legacy_tree_label_tfidf,clean_full_text_tfidf,legacy_tree_label_section,clean_full_text_section
0,SU26SE102,SU26SE102_plag,1,0.09096768200340703,0.5824894610489316,0.6306624364446574,0.4602798602495282
1,SU26SE045,SU26SE045_plag,1,0.09096768200340703,0.713990887969921,0.6306624364446574,0.5139628809567459
2,SU26SE043,SU26SE043_plag,1,0.09096768200340703,0.5280907704740903,0.6306624364446574,0.4368249409313355
3,SU26SE047,SU26SE047_plag,1,0.0686523702778001,0.47785459915229156,0.4306624364446573,0.4087061975809431
4,SU26SE063,SU26SE063_plag,1,0.09096768200340703,0.5774240529767857,0.6306624364446574,0.4280034082078356
5,SU26SE048,SU26SE048_plag,1,0.09096768200340703,0.5838865924862924,0.6306624364446574,0.4877019540656296
6,SU26SE002,SU26SE002_plag,1,0.09096768200340703,0.6173265253853726,0.6306624364446574,0.4441608587880435
7,SU26SE093,SU26SE093_plag,1,0.09096768200340703,0.7191504137846083,0.6306624364446574,0.5541689143223251
8,SU26SE057,SU26SE057_plag,1,0.09096768200340703,0.38524888622281117,0.6306624364446574,0.3296246093872817
9,SU26SE096,SU26SE096_plag,1,0.09096768200340703,0.6023308713381086,0.6306624364446574,0.48756056346676935
10,SU26SE013,SU26SE013_plag,1,0.09096768200340703,0.5433151812756368,0.6306624364446574,0.44485542642356807
11,SU26SE021,SU26SE021_plag,1,0.06776182736087999,0.5961520798012401,0.4418064494303866,0.4019892989818676
12,SU26SE088,SU26SE088_plag,1,0.09096768200340703,0.7186617298979887,0.6306624364446574,0.4647869896728885
13,SU26SE106,SU26SE106_plag,1,0.09096768200340703,0.7980589473070034,0.6306624364446574,0.6364179786661185
14,SU26SE097,SU26SE097_plag,1,0.09942531058699222,0.8059084341262783,1.0,0.6790061372225101
15,SU26SE066,SU26SE066_plag,1,0.09096768200340703,0.6384694661988295,0.6306624364446574,0.47369134965531307
16,SU26SE031,SU26SE031_plag,1,0.09096768200340703,0.6137207750495703,0.6306624364446574,0.43059973418698133
17,SU27SE153,SU27SE153_plag,1,0.05066293022717614,0.7677237262041903,1.0,0.8343111889325397
18,SU26SE023,SU26SE023_plag,1,0.09096768200340703,0.6613905073279922,0.6306624364446574,0.5424922181145546
19,SU26SE101,SU26SE101_plag,1,0.09096768200340703,0.6084289195146858,0.6306624364446574,0.5354186933744189
20,SU26SE086,SU26SE086_plag,1,0.09096768200340703,0.5969422245759765,0.6306624364446574,0.4660748302006738
21,SU26SE034,SU26SE034_plag,1,0.09096768200340703,0.5832845189452132,0.6306624364446574,0.5444227496359534
22,SU26SE003,SU26SE003_plag,1,0.09096768200340703,0.5527978031906335,0.6306624364446574,0.4292791089375947
23,SU26SE008,SU26SE008_plag,1,0.09096768200340703,0.6782878557769639,0.6306624364446574,0.45319740586933116
24,SU26SE041,SU26SE041_plag,1,0.09096768200340703,0.6251762305341853,0.6306624364446574,0.4451883787168115
25,SU26SE037,SU26SE037_plag,1,0.09942531058699222,0.49011848223276583,1.0,0.3476223288444356
26,SU26SE010,SU26SE010_plag,1,0.09096768200340703,0.6002709534167062,0.6306624364446574,0.3853896219344522
27,SU26SE022,SU26SE022_plag,1,0.09096768200340703,0.6184779750583572,0.6306624364446574,0.46033445166142495
28,SU26SE017,SU26SE017_plag,1,0.09096768200340703,0.5182215737296514,0.6306624364446574,0.3871055640345419
29,SU26SE170,SU26SE170_plag,1,0.09096768200340703,0.6868027969676214,0.6306624364446574,0.5042885981148468
30,SU26SE107,SU26SE107_plag,1,0.09096768200340703,0.7087042973571845,0.6306624364446574,0.5273877017313856
31,SU26SE083,SU26SE083_plag,1,0.06776182736087999,0.6076169714393785,0.4418064494303866,0.5183247336503817
32,SU26SE025,SU26SE025_plag,1,0.09096768200340703,0.6377153531055291,0.6306624364446574,0.5037830245636966
33,SU26SE056,SU26SE056_plag,1,0.09096768200340703,0.581665740703172,0.6306624364446574,0.46959583131252325
34,SU26SE001,SU26SE001_plag,1,0.09096768200340703,0.5644243820274724,0.6306624364446574,0.4925266380470291
35,SU26SE072,SU26SE072_plag,1,0.07204919747978117,0.37738735534792933,0.7664672197392702,0.783649999847738
36,SU26SE042,SU26SE042_plag,1,0.09096768200340703,0.66726476589633,0.6306624364446574,0.4955229698793757
37,SU26SE095,SU26SE095_plag,1,0.09096768200340703,0.6141373123963385,0.6306624364446574,0.44648794076156184
38,SU26SE168,SP26SE003,0,0.2461237161803984,0.1147069253683448,1.0,0.03995690901979305
39,SU26SE169,SP26SE112,0,0.2461237161803984,0.1339884771056012,1.0,0.04864458193156723
40,SP26SE001,SU26SE004,0,0.2461237161803984,0.022671026321331257,1.0,0.00976024877778963
41,SP26SE150,SP26SE092,0,0.2461237161803984,0.09610118994445127,1.0,0.4889083356701146
42,SP26SE007,SP26SE098,0,0.2461237161803984,0.07231048582532346,1.0,0.48850548285164236
43,SP26SE102,SP26SE055,0,0.2461237161803984,0.11206128356927722,1.0,0.5075284667883386
44,SP26SE132,SP26SE157,0,0.2461237161803984,0.1364216620487788,1.0,0.5166657906570984
45,SP26SE143,SP26SE062,0,0.15349511615179245,0.09863002928776872,0.7063446476675117,0.4761121498308065
46,SU26SE063,SP26SE019,0,0.2461237161803984,0.1467196076480321,1.0,0.05532407811167212
47,SU26SE088,SP26SE156,0,0.2461237161803984,0.07948022774643285,1.0,0.030434645922999028
48,SP26SE110,SP26SE038,0,0.2461237161803984,0.11058706898204562,1.0,0.514034288935529
49,SU26SE080,SU26SE046,0,0.17686987281667096,0.16245230981351355,0.6589402498361026,0.04944875148497288
50,SU26SE033,SP26SE161,0,0.22816684407664983,0.10435543925379298,0.9802953041029321,0.02766579725195051
51,SU26SE048,SU26SE087,0,0.2461237161803984,0.24585240890554225,1.0,0.19605845863629498
52,SP26SE048,SU26SE087,0,0.22670666329954245,0.14666311516811337,0.9330952941800104,0.06689557773522893
53,SP26SE047,SP26SE159,0,0.2461237161803984,0.058216209865043535,1.0,0.4916725436185424
54,SU26SE097,SP26SE150,0,0.09096768200340703,0.1184163667276766,0.6306624364446574,0.02873818680551426
55,SP26SE150,SP26SE042,0,0.2461237161803984,0.10986967295649225,1.0,0.4895313193126738
56,SU26SE102,SP26SE034,0,0.21638170254260197,0.0729194635075219,0.8888559870142707,0.024947291902787244
57,SP26SE138,SU26SE030,0,0.2461237161803984,0.10160575361319883,1.0,0.036617668685244915
58,SU26SE026,SU26SE063,0,0.22670666329954245,0.157296956175152,0.9330952941800104,0.09936072883769421
59,SU26SE059,SP26SE048,0,0.22670666329954245,0.06686504667405534,0.9330952941800104,0.026177456919843783
60,SP26SE069,SP26SE091,0,0.2461237161803984,0.16785256114874383,1.0,0.48690442656023775
61,SP26SE119,SU26SE067,0,0.2461237161803984,0.11258614069308968,1.0,0.05078804791063218
62,SU26SE015,SP26SE024,0,0.2461237161803984,0.11825274956146141,1.0,0.020488617001874636
63,SP26SE019,SU26SE079,0,0.17773604801356993,0.13333411070087864,0.8392355539390348,0.24316041299517646
64,SU26SE169,SP26SE069,0,0.2461237161803984,0.1266255925937609,1.0,0.029167718010866227
65,SP26SE042,SP26SE159,0,0.2461237161803984,0.1350827154393127,1.0,0.512683252413932
66,SP26SE102,SU26SE039,0,0.2461237161803984,0.07369383078977694,1.0,0.03159408419821871
67,SP26SE065,SP26SE120,0,0.2461237161803984,0.076536869723331,1.0,0.4871839835152706
68,SP26SE120,SP26SE123,0,0.2461237161803984,0.04826405669511428,1.0,0.4815341219026107
69,SP26SE052,SP26SE078,0,0.2461237161803984,0.05302673437787328,1.0,0.48072586889590474
70,SP26SE087,SP26SE102,0,0.1849323630203766,0.0784263892732308,0.8117332705805382,0.5025001840379438
71,SP26SE054,SP26SE099,0,0.1849323630203766,0.04070534149799326,0.8117332705805382,0.48052451541963603
72,SP26SE039,SU26SE165,0,0.2461237161803984,0.059426914380007204,1.0,0.02153761157252929
73,SP26SE110,SP26SE103,0,0.2461237161803984,0.14696706710051927,1.0,0.52481597067392
74,SU26SE168,SU26SE019,0,0.2461237161803984,0.1277088654693413,1.0,0.07497794654796605
75,SU26SE029,SU26SE087,0,0.2461237161803984,0.12199077298614071,1.0,0.09719402993460803
76,SU26SE070,SP26SE069,0,0.2461237161803984,0.09649337854330087,1.0,0.017633062438338877
77,SP26SE134,SU26SE169,0,0.2461237161803984,0.10055681061191094,1.0,0.03227647287261026
78,SP26SE055,SP26SE128,0,0.2461237161803984,0.131356412839618,1.0,0.5172757401398083
79,SU26SE094,SP26SE157,0,0.2461237161803984,0.16892757551265128,1.0,0.04917869156604981
80,SU26SE166,SU26SE082,0,0.2461237161803984,0.10183257734815837,1.0,0.044848493078948955
81,SP26SE087,SP26SE052,0,0.1849323630203766,0.06527296904910213,0.8117332705805382,0.4969540668528408
82,SP26SE128,SU26SE079,0,0.17773604801356993,0.13238400385425422,0.8392355539390348,0.2437417560129879
83,SP26SE088,SP26SE134,0,0.19668211274086636,0.05436792754073582,0.8589402498361025,0.46697123189388823
