index,doc_a,doc_b,label,type,SBERT_MiniLM,BGE_Small_v1.5,MPNet_Base_v2
0,SU26SE102,SU26SE102_plag,1,Type_A,0.8144054412841797,0.9181848764419556,0.9175642728805542
1,SU26SE045,SU26SE045_plag,1,Type_A,0.8106613755226135,0.915852963924408,0.9071140289306641
2,SU26SE043,SU26SE043_plag,1,Type_A,0.7337571382522583,0.8999685645103455,0.8946430087089539
3,SU26SE047,SU26SE047_plag,1,Type_A,0.7542421817779541,0.8623719811439514,0.874758243560791
4,SU26SE063,SU26SE063_plag,1,Type_A,0.7588410377502441,0.9008165597915649,0.9250876903533936
5,SU26SE048,SU26SE048_plag,1,Type_A,0.8521798253059387,0.9290650486946106,0.9553557634353638
6,SU26SE002,SU26SE002_plag,1,Type_A,0.7646867632865906,0.896525502204895,0.9163861870765686
7,SU26SE093,SU26SE093_plag,1,Type_A,0.8567343950271606,0.9531589150428772,0.9443411231040955
8,SU26SE057,SU26SE057_plag,1,Type_A,0.8062177896499634,0.9162558317184448,0.9210445284843445
9,SU26SE096,SU26SE096_plag,1,Type_A,0.7493045926094055,0.8784074783325195,0.9207447171211243
10,SU26SE013,SU26SE013_plag,1,Type_A,0.8499148488044739,0.9215079545974731,0.9518226385116577
11,SU26SE021,SU26SE021_plag,1,Type_A,0.7849538922309875,0.9173175692558289,0.915683388710022
12,SU26SE088,SU26SE088_plag,1,Type_A,0.7936846613883972,0.922002911567688,0.8745043277740479
13,SU26SE106,SU26SE106_plag,1,Type_A,0.7554602026939392,0.8459286689758301,0.9239071607589722
14,SU26SE097,SU26SE097_plag,1,Type_A,0.7386183738708496,0.8723639845848083,0.9266126751899719
15,SU26SE066,SU26SE066_plag,1,Type_A,0.7804851531982422,0.928594708442688,0.9280827045440674
16,SU26SE031,SU26SE031_plag,1,Type_A,0.876076877117157,0.9219555854797363,0.9311615824699402
17,SU27SE153,SU27SE153_plag,1,Type_A,0.8873251080513,0.923039436340332,0.9686112999916077
18,SU26SE023,SU26SE023_plag,1,Type_A,0.9170824885368347,0.9310271739959717,0.9449942111968994
19,SU26SE101,SU26SE101_plag,1,Type_A,0.880173921585083,0.9582818150520325,0.9409574270248413
20,SU26SE086,SU26SE086_plag,1,Type_A,0.8810229897499084,0.9479509592056274,0.9538147449493408
21,SU26SE034,SU26SE034_plag,1,Type_A,0.8524467349052429,0.9444078207015991,0.8732233047485352
22,SU26SE003,SU26SE003_plag,1,Type_A,0.7932186126708984,0.9049517512321472,0.9128667712211609
23,SU26SE008,SU26SE008_plag,1,Type_A,0.7643252611160278,0.9105318784713745,0.8746122121810913
24,SU26SE041,SU26SE041_plag,1,Type_A,0.8378020524978638,0.9241330027580261,0.8977576494216919
25,SU26SE037,SU26SE037_plag,1,Type_A,0.8372071385383606,0.9292635321617126,0.8935493230819702
26,SU26SE010,SU26SE010_plag,1,Type_A,0.8651826977729797,0.9232231974601746,0.893669068813324
27,SU26SE022,SU26SE022_plag,1,Type_A,0.8494340777397156,0.9483962059020996,0.932357907295227
28,SU26SE017,SU26SE017_plag,1,Type_A,0.9455811381340027,0.9342517256736755,0.961311936378479
29,SU26SE170,SU26SE170_plag,1,Type_A,0.84537273645401,0.9342717528343201,0.920519232749939
30,SU26SE107,SU26SE107_plag,1,Type_A,0.8006733059883118,0.9436768293380737,0.9430923461914062
31,SU26SE083,SU26SE083_plag,1,Type_A,0.8089619874954224,0.9653728008270264,0.950742244720459
32,SU26SE025,SU26SE025_plag,1,Type_A,0.8663305640220642,0.9485148191452026,0.940843403339386
33,SU26SE056,SU26SE056_plag,1,Type_A,0.8681215047836304,0.9404814839363098,0.8880268335342407
