doc_id,label,text_changed,structural_similarity,embedding_cosine
SU26SE102,0,True,0.4054,0.9147961139678955
SU26SE045,0,True,0.4098,0.8717126250267029
SU26SE043,0,True,0.3862,0.817389190196991
SU26SE047,0,True,0.4064,0.9303673505783081
SU26SE063,0,True,0.3998,0.847061812877655
SU26SE048,0,True,0.4075,0.9184209704399109
SU26SE002,0,True,0.3921,0.8756923675537109
SU26SE093,0,True,0.376,0.9589521288871765
SU26SE057,0,True,0.3934,0.9810348153114319
SU26SE096,0,True,0.4075,0.7758927941322327
SU26SE013,0,True,0.4072,0.8620708584785461
SU26SE021,0,True,0.4222,0.8102236390113831
SU26SE088,0,True,0.3986,0.8779782652854919
SU26SE106,0,True,0.4598,1.0
SU26SE097,0,True,0.6048,1.0000001192092896
SU26SE066,0,True,0.3971,0.8437616229057312
SU26SE031,0,True,0.4243,0.9446386694908142
SU27SE153,0,True,0.7424,1.0
SU26SE023,0,True,0.4246,1.0
SU26SE101,0,True,0.4121,0.895912230014801
