method,threshold_val,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,roc_auc_filtered_mean,roc_auc_filtered_std,typeA_tpr_mean,typeA_tpr_std,typeB_tnr_mean,typeB_tnr_std,typeC_tnr_mean,typeC_tnr_std
SW-BTED,0.34800000000000003,0.9448916408668729,0.06454941307948257,1.0,0.0,0.9707359307359308,0.035005561405088675,1.0,0.0,1.0,0.0,1.0,0.0,0.9400000000000001,0.08944271909999157,0.96,0.0547722557505166
B1: Cosine TF-IDF,0.238,0.9882352941176471,0.02630668208823283,1.0,0.0,0.9939393939393939,0.01355192713636235,1.0,0.0,1.0,0.0,1.0,0.0,0.9800000000000001,0.04472135954999578,1.0,0.0
B2: Cosine SBERT,0.51,0.9239766081871345,0.07197972880170278,1.0,0.0,0.959327731092437,0.03871752416535086,1.0,0.0,1.0,0.0,1.0,0.0,0.8800000000000001,0.130384048104053,0.9800000000000001,0.04472135954999578
B3: Standard TED,0.37,0.6283333333333334,0.0773278205869963,0.95,0.05229125165837972,0.7547689818421526,0.06409245746507759,0.75,0.08049529295244535,0.7435725732600732,0.09113917430864933,0.95,0.05229125165837972,0.5,0.18708286933869703,0.5800000000000001,0.14832396974191328
B4: pq-Gram,0.04800000000000001,0.632707509881423,0.03179130172256451,0.925,0.05229125165837972,0.7512145748987853,0.03720072821259394,0.8712499999999999,0.042239551222758076,0.8628748855311356,0.05433466239424731,0.925,0.05229125165837972,0.5,0.15811388300841894,0.64,0.1341640786499874
B5: Section Cosine,0.5800000000000001,0.7742487531961216,0.14709988594121234,0.925,0.1354967711792425,0.8246227692984119,0.048859191316391715,0.923125,0.027652277257036124,0.917762706043956,0.03648857159456536,0.925,0.1354967711792425,0.72,0.2588435821108957,0.76,0.16733200530681513
